Last Scraped;Experiences Offered;Host Since;Host Response Rate;Host Acceptance Rate;Host Listings Count;Host Total Listings Count;Neighbourhood;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Calendar Updated;Has Availability;Availability 30;Availability 60;Availability 90;Availability 365;Calendar last Scraped;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;License;Jurisdiction Names;Cancellation Policy;Calculated host listings count;Reviews per Month;Geolocation
2017-03-15;none;2012-11-20;97.0;;68.0;68.0;;Sóller;;07100;39.767540234764255;2.7162656992129084;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;;40.0;;;100.0;60.0;2;10;1;1125;today;;9;21;32;300;2017-03-15;46;2014-12-19;2017-02-20;89.0;10.0;10.0;10.0;10.0;10.0;9.0;;;super_strict_60;63.0;1.69;39.7675402348,2.71626569921
2017-04-08;none;2015-12-16;90.0;;3.0;3.0;;Acacias;Arganzuela;28005;40.40208433042521;-3.7030147380342315;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;;19.0;;;;;1;10;1;1125;3 weeks ago;;12;42;72;73;2017-04-07;1;2016-07-23;2016-07-23;80.0;8.0;8.0;10.0;10.0;6.0;8.0;;;flexible;3.0;0.12;40.4020843304,-3.70301473803
2017-04-08;none;2014-09-19;75.0;;164.0;164.0;La Latina;Embajadores;Centro;28005;40.40885861182167;-3.7083185506925225;Apartment;Entire home/apt;7;2.0;3.0;5.0;Real Bed;;165.0;;;200.0;50.0;4;10;2;1125;today;;8;26;54;326;2017-04-08;2;2015-09-14;2016-07-02;100.0;10.0;10.0;10.0;8.0;10.0;10.0;;;strict;145.0;0.1;40.4088586118,-3.70831855069
2017-05-09;none;2012-01-23;98.0;;21.0;21.0;Landstraße;Landstra§e;;1030;48.202540589850166;16.383273173758838;House;Entire home/apt;4;1.0;1.0;2.0;Real Bed;;52.0;;;;29.0;1;10;1;1125;yesterday;;1;9;16;241;2017-05-09;83;2016-02-09;2017-04-22;87.0;9.0;9.0;9.0;9.0;9.0;9.0;;;flexible;21.0;5.46;48.2025405899,16.3832731738
2017-04-08;none;2015-06-13;100.0;;22.0;22.0;Sol;Sol;Centro;28013;40.41976407894513;-3.700694945955185;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;;95.0;;;;;2;20;3;1125;today;;9;26;50;281;2017-04-07;1;2016-07-04;2016-07-04;80.0;10.0;6.0;10.0;10.0;10.0;8.0;;;strict;13.0;0.11;40.4197640789,-3.70069494596
2017-04-08;none;2016-02-05;0.0;;1.0;1.0;Cortes;Cortes;Centro;28013;40.41828818991904;-3.698891871532448;Guesthouse;Private room;1;2.0;1.0;1.0;Real Bed;;30.0;;;;;1;0;1;1125;5 months ago;;30;60;90;365;2017-04-08;1;2016-02-10;2016-02-10;;;;;;;;;;flexible;1.0;0.07;40.4182881899,-3.69889187153
2017-04-08;none;2016-10-18;100.0;;1.0;1.0;Aluche;Aguilas;Latina;28024;40.393510233155155;-3.77117796777176;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;;16.0;;;;;1;0;1;15;a week ago;;13;43;73;74;2017-04-07;13;2016-11-07;2017-03-17;88.0;9.0;9.0;10.0;10.0;9.0;9.0;;;moderate;1.0;2.55;40.3935102332,-3.77117796777
2017-04-08;none;2015-06-26;;;1.0;1.0;;Embajadores;Centro;28005;40.41078858247522;-3.7074198304108905;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;;40.0;;;;10.0;1;10;1;1125;2 months ago;;0;0;0;0;2017-04-07;7;2016-05-04;2016-09-27;86.0;9.0;8.0;10.0;10.0;9.0;9.0;;;flexible;1.0;0.62;40.4107885825,-3.70741983041
2017-04-08;none;2016-07-10;100.0;;4.0;4.0;Guindalera;Guindalera;Salamanca;28028;40.4320876286974;-3.6719203917787167;Apartment;Private room;1;1.5;1.0;1.0;Real Bed;;14.0;;;;;1;0;2;1125;2 weeks ago;;5;11;12;236;2017-04-08;47;2016-07-31;2017-03-26;91.0;9.0;9.0;9.0;9.0;9.0;9.0;;;flexible;4.0;5.6;40.4320876287,-3.67192039178
2017-04-08;none;2015-10-26;100.0;;6.0;6.0;El Viso;El Viso;Chamartín;28006;40.43905476683635;-3.6807829890963055;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;;70.0;410.0;1500.0;150.0;;1;0;2;1125;5 weeks ago;;14;44;70;338;2017-04-08;24;2015-12-09;2017-03-18;74.0;8.0;8.0;9.0;9.0;9.0;7.0;;;strict;6.0;1.48;40.4390547668,-3.6807829891
